symbol,name,reportDate,fiscalDateEnding,estimate,currency
AONNY,AONNY,2024-01-10,2023-11-30,-0.0847,JPY
AOREF,AOREF,2023-12-27,2023-09-30,,USD
AOS,A.O. Smith Corp,2024-01-25,2023-12-31,0.93,USD
AOSL,Alpha & Omega Semiconductor Ltd,2023-11-06,2023-09-30,0.32,USD
AOTVF,AOTVF,2023-11-08,2023-09-30,,CAD
AOUT,American Outdoor Brands Inc,2023-11-29,2023-10-31,0.2,USD
AOXG,AOXG,2023-11-16,2023-09-30,0,USD
AOZOY,AOZOY,2023-11-13,2023-09-30,0.1054,JPY
AOZOY,AOZOY,2024-01-29,2023-12-31,0.0868,JPY
AP,Ampco-Pittsburgh Corp,2023-11-13,2023-09-30,,USD
APAAF,APAAF,2023-11-06,2023-09-30,,CAD
APAM,Artisan Partners Asset Management Inc - Class A,2024-01-29,2023-12-31,0.72,USD
APCX,AppTech Payments Corp,2023-11-09,2023-09-30,0,USD
APD,Air Products & Chemicals Inc,2023-11-07,2023-09-30,3.12,USD
APD,Air Products & Chemicals Inc,2024-01-31,2023-12-31,3.01,USD
APDN,Applied Dna Sciences Inc,2023-12-12,2023-09-30,-0.27,USD
APEI,American Public Education Inc,2023-11-07,2023-09-30,-0.25,USD
APELY,APELY,2024-01-30,2023-12-31,0.6328,JPY
APEMY,APEMY,2023-11-10,2023-09-30,0.1729,EUR
APEOF,APEOF,2024-01-30,2023-12-31,,CAD
APEUF,APEUF,2023-11-21,2023-09-30,,CAD
APGE,Apogee Therapeutics Inc,2023-11-29,2023-09-30,-0.44,USD
APGI,APGI,2023-12-11,2023-09-30,0,USD
APGI,APGI,2024-01-23,2023-12-31,0,USD
APGN,APGN,2023-11-14,2023-09-30,-0.19,USD
APGT,APGT,2023-12-26,2023-09-30,,USD
APH,Amphenol Corp - Class A,2024-01-24,2023-12-31,0.76,USD
APHLF,APHLF,2023-11-14,2023-09-30,,CAD
API,Agora Inc,2023-11-20,2023-09-30,-0.1,USD
APLD,Applied Digital Corporation,2024-01-08,2023-11-30,0.01,USD
APLE,Apple Hospitality REIT Inc,2023-11-07,2023-09-30,0.24,USD
APLIF,APLIF,2023-11-08,2023-09-30,-0.01,CAD
APLT,Applied Therapeutics Inc,2023-11-07,2023-09-30,-0.26,USD
APM,Aptorum Group Ltd - Class A,2023-11-03,2023-09-30,,USD
APOG,Apogee Enterprises Inc,2023-12-20,2023-11-30,1.11,USD
APP,Applovin Corp - Class A,2023-11-08,2023-09-30,0.27,USD
APPF,Appfolio Inc - Class A,2024-01-24,2023-12-31,0.75,USD
APPH,APPH,2023-11-06,2023-09-30,,USD
APPS,Digital Turbine Inc,2023-11-08,2023-09-30,0.14,USD
APPTF,APPTF,2023-11-13,2023-09-30,,USD
APRE,Aprea Therapeutics Inc,2023-11-07,2023-09-30,-1.16,USD
APRN,Blue Apron Holdings Inc - Class A,2023-11-09,2023-09-30,-1.99,USD
APT,Alpha Pro Tech Ltd,2023-11-06,2023-09-30,,USD
APTO,Aptose Biosciences Inc,2023-11-09,2023-09-30,-2.05,USD
APTV,Aptiv PLC,2024-02-01,2023-12-31,1.34,USD
APTX,Aptinyx Inc,2023-11-06,2023-09-30,-0.05,USD
APVO,Aptevo Therapeutics Inc,2023-11-08,2023-09-30,-0.75,USD
APVS,APVS,2023-11-13,2023-09-30,0,USD
APWC,Asia Pacific Wire & Cable,2023-12-19,2023-09-30,0,USD
APYP,APYP,2023-11-06,2023-09-30,,USD
APYRF,APYRF,2024-01-29,2023-12-31,,CAD
APYX,Apyx Medical Corp,2023-11-09,2023-09-30,-0.11,USD
AQB,AquaBounty Technologies Inc,2023-11-06,2023-09-30,-1.94,USD
AQMS,Aqua Metals Inc,2023-11-08,2023-09-30,-0.05,USD
AQN,Algonquin Power & Utilities Corp,2023-11-10,2023-09-30,0.12,USD
AQQSQ,AQQSQ,2023-11-13,2023-09-30,0,USD
AQST,Aquestive Therapeutics Inc,2023-11-06,2023-09-30,-0.11,USD
AQSZF,AQSZF,2023-11-27,2023-09-30,,USD
AQUA,AQUA,2023-11-13,2023-09-30,,USD
AQUA,AQUA,2024-01-29,2023-12-31,,USD
ARAO,ARAO,2023-11-06,2023-09-30,,USD
ARAT,ARAT,2023-12-11,2023-10-31,,USD
